num_regiao,nom_bairro
1,Boa Vista I
1,Boa Vista II
1,Centro
1,Coqueiral de Itaparica
1,Cristóvão Colombo
1,Divino Espírito Santo
1,Glória
1,Ilha dos Aires
1,Itapoã
1,Jaburuna
1,Jockey de Itaparica
1,Olaria
1,Praia de Itaparica
1,Praia da Costa
1,Praia das Gaivotas
1,Prainha
1,Residencial Itaparica
1,Soteco
1,Vista da Penha
2,Araçás
2,Brisamar
2,Cocal
2,Darly Santos
2,Guaranhuns
2,Ibes
2,Ilha dos Bentos
2,Jardim Asteca
2,Jardim Colorado
2,Jardim Guadalajara
2,Jardim Guaranhuns
2,Nossa Senhora da Penha
2,Nova Itaparica
2,Novo México
2,Pontal das Garças
2,Santa Inês
2,Santa Mônica
2,Santa Mônica Popular
2,Santos Dumont
2,Vila Guaranhuns
2,Vila Nova
3,Argolas
3,Aribiri
3,Ataíde
3,Bairro Garoto
3,Cavalieri
3,Chácara do Conde
3,Dom João Batista
3,Ilha da Conceição
3,Ilha das Flores
3,Paul
3,Pedra dos Búzios
3,Primeiro de Maio
3,Sagrada Família
3,Santa Rita
3,Vila Batista
3,Vila Garrido 
3,Zumbi dos Palmares
4,Alecrim
4,Alvorada
4,Bairro Industrial
4,Cobi de Baixo
4,Cobi de Cima
4,Cobilândia
4,Jardim do Vale
4,Jardim Marilândia
4,Nova América
4,Planalto
4,Pólo Empresarial Novo México
4,Rio Marinho
4,Santa Clara
4,São Torquato
4,Vale Encantado
5,Balneário Ponta da Fruta
5,Barra do Jucu
5,Barramares
5,Cidade da Barra
5,Interlagos I e II
5,Jabaeté
5,João Goulart
5,Morada da Barra
5,Morada do Sol
5,Morro da Lagoa
5,Normília da Cunha
5,Nova Ponta da Fruta
5,Ponta da Fruta
5,Praia dos Recifes
5,Riviera da Barra
5,Santa Paula I
5,Santa Paula II
5,São Conrado
5,Terra Vermelha
5,Ulisses Guimarães
5,Vinte e Três de Maio
5,XURI
